rank,team,rating
1,Argentina,1877.27
2,Spain,1874.71
3,France,1870.70
4,England,1828.02
5,Portugal,1767.85
6,Brazil,1765.86
7,Morocco,1755.10
8,Netherlands,1753.57
9,Belgium,1742.24
10,Germany,1735.77
11,Croatia,1714.87
12,Italy,1704.73
13,Colombia,1698.35
14,Mexico,1687.48
15,Senegal,1684.07
16,Uruguay,1673.07
17,USA,1671.23
18,Japan,1661.58
19,Switzerland,1650.06
20,IR Iran,1619.58
21,Denmark,1619.47
22,Türkiye,1605.73
23,Ecuador,1598.52
24,Austria,1597.40
25,Korea Republic,1591.63
26,Nigeria,1585.02
27,Australia,1579.34
28,Algeria,1571.03
29,Egypt,1562.37
30,Canada,1559.48
31,Norway,1557.44
32,Ukraine,1549.29
33,Côte d'Ivoire,1540.87
34,Panama,1539.16
35,Russia,1529.60
36,Poland,1526.18
37,Wales,1516.95
38,Sweden,1509.79
39,Hungary,1506.39
40,Czechia,1505.74
41,Paraguay,1505.35
42,Scotland,1503.34
43,Serbia,1502.13
44,Cameroon,1481.24
45,Tunisia,1476.41
46,Congo DR,1474.43
47,Slovakia,1473.66
48,Greece,1473.19
49,Venezuela,1469.18
50,Uzbekistan,1458.73
51,Chile,1458.20
52,Peru,1457.69
53,Costa Rica,1456.03
54,Romania,1455.89
55,Mali,1455.59
56,Qatar,1450.31
57,Iraq,1446.28
58,Republic of Ireland,1441.10
59,Slovenia,1441.09
60,South Africa,1428.38
61,Saudi Arabia,1423.88
62,Burkina Faso,1406.99
63,Jordan,1387.74
64,Bosnia and Herzegovina,1387.22
65,Honduras,1378.97
66,Albania,1376.03
67,Cabo Verde,1371.11
68,United Arab Emirates,1370.47
69,North Macedonia,1369.16
70,Northern Ireland,1365.30
71,Jamaica,1357.84
72,Georgia,1355.26
73,Ghana,1346.88
74,Iceland,1342.77
75,Finland,1341.92
76,Israel,1333.90
77,Bolivia,1326.00
78,Kosovo,1319.12
79,Oman,1306.90
80,Montenegro,1301.98
81,Guinea,1295.60
82,Curaçao,1294.77
83,Haiti,1293.10
84,Syria,1283.05
85,New Zealand,1275.58
86,Gabon,1272.51
87,Bulgaria,1271.68
88,Angola,1265.58
89,Uganda,1264.09
90,Zambia,1255.82
91,China PR,1254.81
92,Bahrain,1254.41
93,Benin,1252.17
94,Thailand,1250.80
95,Palestine,1243.71
96,Belarus,1242.88
97,Guatemala,1238.74
98,Luxembourg,1232.82
99,Vietnam,1225.68
100,El Salvador,1225.34
101,Tajikistan,1224.19
102,Trinidad and Tobago,1219.59
103,Mozambique,1218.62
104,Madagascar,1202.69
105,Equatorial Guinea,1195.20
106,Kyrgyz Republic,1192.16
107,Armenia,1189.63
108,Comoros,1187.91
109,Kenya,1185.08
110,Libya,1182.08
111,Kazakhstan,1180.78
112,Tanzania,1180.27
113,Mauritania,1176.68
114,Niger,1175.33
115,Lebanon,1172.22
116,The Gambia,1159.64
117,Sudan,1157.22
118,Indonesia,1157.14
119,Togo,1152.76
120,Korea DPR,1151.05
121,Namibia,1148.84
122,Sierra Leone,1147.56
123,Faroe Islands,1136.59
124,Cyprus,1133.25
125,Suriname,1132.43
126,Azerbaijan,1132.00
127,Estonia,1130.64
128,Rwanda,1126.62